internet, rede global de computadores
binóculo, instrumento óptico para observação
fogão, aparelho para cozinhar alimentos
relâmpago, descarga elétrica atmosférica
café, bebida estimulante
geleira, massa de gelo em movimento
pintura, forma de arte visual
escalada, atividade de subir montanhas
estetoscópio, instrumento médico para auscultar
comida, substância ingerida para nutrição
carrossel, brinquedo giratório
cilindro, sólido com superfícies curvas
futebol, esporte de equipe com bola
ferradura, peça metálica para cascos de cavalos
neve, cristais de gelo que caem do céu
cenoura, vegetal alaranjado comestível
óculos, acessório para corrigir visão
escalope, carne fina e achatada
esfinge, figura mitológica com enigma
espetáculo, apresentação artística
tartaruga, réptil com casco
magnetismo, força atraente entre objetos
joalheria, comércio de joias
colina, elevação de terreno
aniversário, celebração do nascimento
submarino, embarcação submersível
escola, instituição de ensino
heliotropo, planta que segue a luz solar
telescópio, instrumento para observação astronômica
piano, instrumento de teclas
radiador, dispositivo de aquecimento
hidroavião, aeronave que opera na água
pérola, gema produzida por moluscos
ponte, estrutura que atravessa obstáculos
bisonte, mamífero herbívoro de grande porte
crepúsculo, período entre o dia e a noite
sublime, qualidade de grandeza ou beleza
xícara, recipiente para bebidas
oceano, vasta extensão de água salgada
risada, expressão sonora de alegria
míssil, projétil guiado
televisão, aparelho de transmissão de imagens
cama, móvel para dormir
templo, local de culto religioso
câncer, doença celular anormal
relógio, dispositivo para medir o tempo
pintor, artista que cria obras visuais
ginástica, exercícios físicos
foguete, veículo espacial impulsionado
cachecol, acessório para aquecer o pescoço
diamante, pedra preciosa
vulcão, abertura na crosta terrestre
computação, ciência da informática
explosão, liberação súbita de energia
anjo, ser celestial benevolente
tapete, peça de decoração
gôndola, embarcação veneziana
teia, estrutura de aranhas
química, ciência dos elementos
espectro, gama de cores
paz, estado de tranquilidade
escova, utensílio de higiene pessoal
quadro, obra de arte
bateria, fonte de energia elétrica
concha, invólucro de molusco
jornada, período de trabalho
sorvete, sobremesa gelada
impressora, dispositivo de reprodução
nuvem, massa de partículas suspensas
ruído, som indesejado
céu, atmosfera acima da Terra
leão, felino selvagem
telegrama, mensagem telegráfica
conquista, realização notável
floresta, grande área arborizada
cadeira, assento para uma pessoa
eclipse, ocultação de astros
luz, radiação visível
porta, abertura em parede
bússola, instrumento de orientação
código, sistema de símbolos
viagem, deslocamento de um lugar a outro
vela, fonte de luz
oásis, área fértil em ambiente desértico
hamburguer, alimento de carne moída
selva, floresta tropical
coliseu, antigo anfiteatro romano
